 1.00000  0.32109  0.25886  0.30143  0.25063  0.21818  0.21270  0.05951  0.11967
 0.32109  1.00000  0.44019  0.30423  0.31368  0.18534  0.13287  0.17767  0.10506
 0.25886  0.44019  1.00000  0.31103  0.26286  0.22199  0.17488  0.14354  0.18103
 0.30143  0.30423  0.31103  1.00000  0.55888  0.43890  0.45450  0.07526  0.11833
 0.25063  0.31368  0.26286  0.55888  1.00000  0.37990  0.33126  0.26553  0.07252
 0.21818  0.18534  0.22199  0.43890  0.37990  1.00000  0.63329  0.11531  0.11642
 0.21270  0.13287  0.17488  0.45450  0.33126  0.63329  1.00000  0.10124  0.13303
 0.05951  0.17767  0.14354  0.07526  0.26553  0.11531  0.10124  1.00000 -0.01537
 0.11967  0.10506  0.18103  0.11833  0.07252  0.11642  0.13303 -0.01537  1.00000
     NA      NA      NA      NA      NA      NA      NA      NA      NA
     NA      NA      NA      NA      NA      NA      NA      NA      NA
     NA      NA 1.00000 0.30627 0.23286 0.16685 0.11537 0.20144 0.06605
     NA      NA 0.30627 1.00000 0.37229 0.40657 0.38946 0.15372 0.01053
     NA      NA 0.23286 0.37229 1.00000 0.24433 0.17179 0.21161 0.04781
     NA      NA 0.16685 0.40657 0.24433 1.00000 0.57266 0.14601 0.01423
     NA      NA 0.11537 0.38946 0.17179 0.57266 1.00000 0.13517 0.04271
     NA      NA 0.20144 0.15372 0.21161 0.14601 0.13517 1.00000 0.23570
     NA      NA 0.06605 0.01053 0.04781 0.01423 0.04271 0.23570 1.00000
1.00000 0.33292      NA      NA      NA 0.15641 0.17289 0.13045 0.10470
0.33292 1.00000      NA      NA      NA 0.07923 0.07578 0.14124 0.13151
     NA      NA      NA      NA      NA      NA      NA      NA      NA
     NA      NA      NA      NA      NA      NA      NA      NA      NA
     NA      NA      NA      NA      NA      NA      NA      NA      NA
0.15641 0.07923      NA      NA      NA 1.00000 0.52587 0.21323 0.04169
0.17289 0.07578      NA      NA      NA 0.52587 1.00000 0.17417 0.04298
0.13045 0.14124      NA      NA      NA 0.21323 0.17417 1.00000 0.31630
0.10470 0.13151      NA      NA      NA 0.04169 0.04298 0.31630 1.00000
 1.00000  0.23844  0.13480  0.16443  0.20362  0.20403  0.20217       NA       NA
 0.23844  1.00000  0.30850  0.22380  0.16293  0.10355 -0.04808       NA       NA
 0.13480  0.30850  1.00000  0.30570  0.09850  0.14059  0.10247       NA       NA
 0.16443  0.22380  0.30570  1.00000  0.42835  0.34044  0.25174       NA       NA
 0.20362  0.16293  0.09850  0.42835  1.00000  0.31760  0.19930       NA       NA
 0.20403  0.10355  0.14059  0.34044  0.31760  1.00000  0.50159       NA       NA
 0.20217 -0.04808  0.10247  0.25174  0.19930  0.50159  1.00000       NA       NA
      NA       NA       NA       NA       NA       NA       NA       NA       NA
      NA       NA       NA       NA       NA       NA       NA       NA       NA
